cycle,left_5,internal_zero,external_zero,right_5,balance,strip_health,stability,noise,pressure
72,-0.00094,0.0,0.0,-0.00731,0.99788,0.01081,0.84985,0.025,1.864
73,0.01798,0.0,0.0,-0.00107,0.99365,0.01235,0.84725,0.025,1.876
74,0.01454,0.0,0.0,0.00205,0.99584,0.01046,0.84804,0.025,1.888
75,0.00297,0.0,0.0,0.00744,0.99851,0.00752,0.8493,0.025,1.9
76,-0.00541,0.0,0.0,0.00366,0.99698,0.00627,0.84875,0.025,1.912
77,-0.00628,0.0,0.0,-0.0014,0.99838,0.00741,0.84958,0.025,1.924
78,0.00081,0.0,0.0,-0.01071,0.99616,0.00938,0.84862,0.025,1.936
79,0.01099,0.0,0.0,-0.0009,0.99604,0.00988,0.84861,0.025,1.948
80,0.00547,0.0,0.0,0.00226,0.99893,0.00905,0.85002,0.025,1.96
81,0.00488,0.0,0.0,0.00942,0.99849,0.00878,0.849,0.025,1.972
82,-0.00596,0.0,0.0,0.00268,0.99712,0.00661,0.8489,0.025,1.984
83,-0.01008,0.0,0.0,-0.00312,0.99768,0.007,0.84859,0.025,1.996
84,0.00021,0.0,0.0,-0.00617,0.99787,0.00825,0.8497,0.025,2.008
85,0.01046,0.0,0.0,-0.00122,0.99611,0.00883,0.8485,0.025,2.02
86,0.00485,0.0,0.0,0.00173,0.99896,0.00862,0.85011,0.025,2.032
87,0.00255,0.0,0.0,0.00782,0.99824,0.00653,0.84907,0.025,2.044
88,-0.00486,0.0,0.0,0.0047,0.99681,0.00624,0.84862,0.025,2.056
89,-0.00445,0.0,0.0,-0.00256,0.99937,0.00596,0.8498,0.025,2.068
90,-0.00074,0.0,0.0,-0.00641,0.99811,0.0078,0.84961,0.025,2.08
91,0.01046,0.0,0.0,-0.00096,0.99619,0.00969,0.84869,0.025,2.092
92,0.005,0.0,0.0,0.00188,0.99896,0.00748,0.8499,0.025,2.104
93,0.0029,0.0,0.0,0.00679,0.9987,0.00661,0.84933,0.025,2.116
94,-0.00494,0.0,0.0,0.0,0.99835,0.00569,0.84966,0.025,2.128
95,-0.0062,0.0,0.0,-0.002,0.9986,0.00662,0.84948,0.025,2.14
96,0.00129,0.0,0.0,-0.00741,0.9971,0.00795,0.84909,0.025,2.152
97,0.00845,0.0,0.0,-0.00143,0.99671,0.00774,0.84877,0.025,2.164
98,0.00388,0.0,0.0,0.00084,0.99899,0.00656,0.85004,0.025,2.176
99,0.00187,0.0,0.0,0.00647,0.99847,0.00528,0.84921,0.025,2.188
100,-0.0041,0.0,0.0,0.0,0.99863,0.00434,0.84966,0.025,2.2
101,-0.00059,0.0,0.0,-0.00181,0.99959,0.00508,0.85032,0.025,2.212
102,-0.00082,0.0,0.0,-0.00789,0.99764,0.00852,0.84936,0.025,2.224
103,0.00933,0.0,0.0,-0.00137,0.99643,0.00847,0.84868,0.025,2.236
104,0.00396,0.0,0.0,0.00096,0.999,0.0071,0.8501,0.025,2.248
105,0.00225,0.0,0.0,0.00672,0.99851,0.0059,0.84924,0.025,2.26
106,-0.00442,0.0,0.0,0.0,0.99853,0.00463,0.84963,0.025,2.272
107,-0.00058,0.0,0.0,-0.00282,0.99925,0.00386,0.84989,0.025,2.284
108,0.00087,0.0,0.0,-0.00199,0.99905,0.00619,0.85024,0.025,2.296
109,0.00885,0.0,0.0,-0.0012,0.99665,0.00846,0.84884,0.025,2.308
110,0.00385,0.0,0.0,0.0009,0.99902,0.00647,0.85003,0.025,2.32
111,0.00249,0.0,0.0,0.00668,0.9986,0.00629,0.84931,0.025,2.332
112,-0.00493,0.0,0.0,0.0,0.99836,0.00434,0.84946,0.025,2.344
113,-0.00056,0.0,0.0,-0.00235,0.9994,0.00449,0.8501,0.025,2.356
114,0.00067,0.0,0.0,-0.0048,0.99818,0.00736,0.84978,0.025,2.368
115,0.0087,0.0,0.0,-0.00111,0.99673,0.00843,0.84889,0.025,2.38
116,0.00431,0.0,0.0,0.00144,0.99904,0.00728,0.85004,0.025,2.392
117,0.0021,0.0,0.0,0.00604,0.99869,0.0054,0.84933,0.025,2.404
118,-0.00431,0.0,0.0,0.0,0.99856,0.00427,0.8496,0.025,2.416
119,-7e-05,0.0,0.0,-0.0025,0.99919,0.0041,0.85001,0.025,2.428
120,0.0002,0.0,0.0,-0.00085,0.99965,0.00617,0.85067,0.025,2.44
121,0.00881,0.0,0.0,-0.00103,0.99672,0.00846,0.84889,0.025,2.452
122,0.00421,0.0,0.0,0.00141,0.99907,0.00682,0.84999,0.025,2.464
123,0.0012,0.0,0.0,0.00583,0.99846,0.0046,0.84927,0.025,2.476
124,-0.00353,0.0,0.0,0.0,0.99882,0.00317,0.84962,0.025,2.488
125,0.0,0.0,0.0,-0.00254,0.99915,0.00393,0.84998,0.025,2.5
126,-0.00024,0.0,0.0,0.0,0.99992,0.00587,0.85082,0.025,2.512
127,0.00842,0.0,0.0,-0.00105,0.99684,0.00825,0.84895,0.025,2.524
128,0.00407,0.0,0.0,0.00128,0.99907,0.00709,0.85007,0.025,2.536
129,0.00093,0.0,0.0,0.00618,0.99825,0.00472,0.84921,0.025,2.548
130,-0.00326,0.0,0.0,0.0,0.99891,0.00291,0.84965,0.025,2.56
131,0.0,0.0,0.0,-0.00225,0.99925,0.00429,0.8501,0.025,2.572
132,-0.00101,0.0,0.0,-0.00219,0.99961,0.00613,0.85038,0.025,2.584
133,0.00576,0.0,0.0,-0.00119,0.99768,0.00668,0.84932,0.025,2.596
134,0.00359,0.0,0.0,0.00085,0.99909,0.00672,0.85013,0.025,2.608
135,0.00246,0.0,0.0,0.00603,0.99881,0.00585,0.8494,0.025,2.62
136,-0.00489,0.0,0.0,0.0,0.99837,0.00422,0.84945,0.025,2.632
137,0.0,0.0,0.0,-0.00244,0.99919,0.00396,0.85,0.025,2.644
138,0.00034,0.0,0.0,0.0,0.99989,0.00581,0.85079,0.025,2.656
139,0.0075,0.0,0.0,-0.0009,0.9972,0.00802,0.84917,0.025,2.668
140,0.00405,0.0,0.0,0.00137,0.99911,0.00727,0.8501,0.025,2.68
141,0.00138,0.0,0.0,0.00605,0.99844,0.00454,0.84921,0.025,2.692
142,-0.00348,0.0,0.0,0.0,0.99884,0.00297,0.84961,0.025,2.704
143,0.0,0.0,0.0,-0.00113,0.99962,0.00528,0.85052,0.025,2.716
144,0.00014,0.0,0.0,-0.00246,0.99913,0.00671,0.85038,0.025,2.728
