cycle,left_5,internal_zero,external_zero,right_5,balance,strip_health,stability,noise,pressure
76,-0.21591,0.0,0.0,0.63037,0.71791,0.36667,0.70048,0.02,1
77,-0.59392,0.0,0.0,0.1778,0.74276,0.36547,0.71832,0.02,1
78,-0.40517,0.0,0.0,-0.63235,0.92427,0.36522,0.74859,0.02,1
79,0.49515,0.0,0.0,-0.56397,0.64696,0.36401,0.64865,0.02,1
80,0.6642,0.0,0.0,0.33868,0.89149,0.36197,0.74096,0.02,1
81,-0.14766,0.0,0.0,0.52886,0.77449,0.3606,0.7406,0.02,1
82,-0.20761,0.0,0.0,0.6061,0.72876,0.35813,0.70707,0.02,1
83,-0.55518,0.0,0.0,0.14016,0.76822,0.35641,0.73542,0.02,1
84,-0.41396,0.0,0.0,-0.61372,0.93341,0.35595,0.75163,0.02,1
85,0.49505,0.0,0.0,-0.5545,0.65015,0.35392,0.64945,0.02,1
86,0.6317,0.0,0.0,0.32361,0.8973,0.35269,0.74755,0.02,1
87,-0.13021,0.0,0.0,0.53219,0.7792,0.34978,0.74239,0.02,1
88,-0.20775,0.0,0.0,0.55813,0.74471,0.3481,0.71713,0.02,1
89,-0.5529,0.0,0.0,0.13484,0.77075,0.34676,0.73581,0.02,1
90,-0.40368,0.0,0.0,-0.60745,0.93208,0.34603,0.75174,0.02,1
91,0.47236,0.0,0.0,-0.52068,0.66899,0.3449,0.66175,0.02,1
92,0.64066,0.0,0.0,0.31466,0.89133,0.34218,0.74388,0.02,1
93,-0.1423,0.0,0.0,0.48616,0.79051,0.34093,0.74926,0.02,1
94,-0.20438,0.0,0.0,0.56345,0.74406,0.33842,0.7152,0.02,1
95,-0.56055,0.0,0.0,0.14658,0.76429,0.33652,0.72959,0.02,1
96,-0.36738,0.0,0.0,-0.58945,0.92598,0.33545,0.75481,0.02,1
97,0.44972,0.0,0.0,-0.51649,0.67793,0.3337,0.66656,0.02,1
98,0.62379,0.0,0.0,0.29436,0.89019,0.33134,0.7465,0.02,1
99,-0.12633,0.0,0.0,0.48815,0.79517,0.32884,0.75083,0.02,1
